Gene1,Gene2
BCL3,TNS4
BCL3,TOB2P1
BCL3,TOP2A
BCL3,TP53I3
BCL3,TPM2
BCL3,TPRA1
BCL3,TRAM1
BCL3,TRIAP1
BCL3,TRIM21
BCL3,TRIM29
BCL3,TRIM47
BCL3,TRIM68
BCL3,TRMT2A
BCL3,TSPAN6
BCL3,TSPYL5
BCL3,TSR3
BCL3,TST
BCL3,TUBA1B
BCL3,TUBB2A
BCL3,TUBGCP6
BCL3,TUFM
BCL3,TUSC1
BCL3,TUSC2
BCL3,TYK2
BCL3,U2AF1L4
BCL3,UBC
BCL3,UBE2M
BCL3,UBXN1
BCL3,USF1
BCL3,VPS28
BCL3,VSIG10L
BCL3,VTI1B
BCL3,VWA7
BCL3,WDR77
BCL3,WNT11
BCL3,WNT7B
BCL3,XBP1
BCL3,YIPF3
BCL3,ZBTB17
BCL3,ZBTB3
BCL3,ZFP36L2
BCL3,ZMAT1
BCL3,ZMYND19
BCL3,ZNF202
BCL3,ZNF219
BCL3,ZNF296
BCL3,ZNF414
BCL3,ZNF513
BCL3,ZNF552
BCL3,ZNF558
BCL3,ZNF579
BCL3,ZNF599
BCL3,ZNF688
BCL3,ZNF768
BCL3,ZNF784
BCL3,ZNF792
BCL3,ZNF837
BCL3,ZNRF3-AS1
BCL3,ZWINT
BCL3,ZXDA
BHLHE40,C19orf73
BHLHE40,C6orf62
BHLHE40,CENPE
BHLHE40,COX7A2
BHLHE40,DNAAF3
BHLHE40,DNLZ
BHLHE40,FOXD1
BHLHE40,GABARAP
BHLHE40,GDF9
BHLHE40,GSG1
BHLHE40,GTPBP6
BHLHE40,HMGCS1
BHLHE40,HNRNPL
BHLHE40,LSS
BHLHE40,MTCH1
BHLHE40,NDST2
BHLHE40,P4HB
BHLHE40,POLR2I
BHLHE40,RPL22
BHLHE40,SLC25A5-AS1
BHLHE40,SRI
BHLHE40,SYN1
BHLHE40,SYVN1
BHLHE40,TIMM13
BHLHE40,TMEM185B
BHLHE40,ZNF219
BHLHE40,ZNF296
BHLHE40,ZNF513
BRD2,ABHD11
BRD2,ACAA2
BRD2,ACOT6
BRD2,ACSS1
BRD2,AHCY
BRD2,AKR1B1
BRD2,AKT1S1
BRD2,ALDH3A1
BRD2,APBB3
BRD2,ARHGDIA
BRD2,ASB6
BRD2,ASPM
BRD2,AURKB
BRD2,B4GALNT1
BRD2,BAIAP2L2
BRD2,BCAP31
BRD2,BRAT1
BRD2,C20orf96
BRD2,C7orf25
BRD2,CACNB1
BRD2,CCT3
BRD2,CDK2AP1
BRD2,CENPE
BRD2,CFL1
BRD2,CHCHD2
BRD2,CIB1
BRD2,CIB2
BRD2,CLDN7
BRD2,CLUH
BRD2,CSRNP1
BRD2,CTSB
BRD2,DAW1
BRD2,DBNDD1
BRD2,DCTPP1
BRD2,DDT
BRD2,DEDD2
BRD2,DGAT1
BRD2,DHCR7
BRD2,DMKN
BRD2,DNAJC19
BRD2,DNLZ
BRD2,DNM1P35
BRD2,E2F2
BRD2,EIF6
BRD2,EOMES
BRD2,EXTL3-AS1
BRD2,EZR
BRD2,FAM86B1
BRD2,FAM86B2
BRD2,FASTK
BRD2,FBXL14
BRD2,FBXO2
BRD2,FBXO41
BRD2,FCGBP
BRD2,FGFBP3
BRD2,FKBP5
BRD2,FKBP8
BRD2,FLNA
BRD2,FOXN3-AS1
BRD2,GAL3ST1
BRD2,GATA2
BRD2,GCLC
BRD2,GPANK1
BRD2,GPX2
BRD2,GSG1
BRD2,GSK3A
BRD2,GSR
BRD2,GTPBP6
BRD2,HAUS7
BRD2,HDHD3
BRD2,HINT2
BRD2,HJURP
BRD2,HM13-AS1
BRD2,HNRNPH1
BRD2,HOXB8
BRD2,HTR1D
BRD2,IMPDH1
BRD2,INPP4B
BRD2,IRF2BP1
BRD2,ISOC2
BRD2,KLHL35
BRD2,KRT19
BRD2,KRT4
BRD2,KRT78
BRD2,KRT8
BRD2,LAGE3
BRD2,LENG9
BRD2,LIMD2
BRD2,LMTK3
BRD2,LNX1-AS2
BRD2,LOXL1-AS1
BRD2,LRPAP1
BRD2,LRRC59
BRD2,LSM7
BRD2,LTB
BRD2,LTBP3
BRD2,LYST
BRD2,MAN2C1
BRD2,MAP2K4P1
BRD2,MAPK12
BRD2,MCAT
BRD2,MCIDAS
BRD2,MCL1
BRD2,MFGE8
BRD2,MGAT1
BRD2,MGAT4B
BRD2,MIR22HG
BRD2,MIR497HG
BRD2,MST1L
BRD2,NAT9
BRD2,NCL
BRD2,NCOR2
BRD2,NDUFA4L2
BRD2,NKX3-1
BRD2,NOL6
BRD2,NOTCH3
BRD2,NSMF
BRD2,NT5C
BRD2,NTN5
BRD2,NTRK3
BRD2,NUDT8
BRD2,OSCAR
BRD2,P4HB
BRD2,PAQR9
BRD2,PARP12
BRD2,PCBP4
BRD2,PCGF1
BRD2,PDE6A
BRD2,PDIA4
BRD2,PJA1
BRD2,PKMYT1
BRD2,PLCD1
BRD2,PLTP
BRD2,PLXNB1
BRD2,POLD2
BRD2,POLM
BRD2,POLR2J
BRD2,POMGNT1
BRD2,POP5
BRD2,PPP1CA
BRD2,PSMC3IP
BRD2,PSMG4
BRD2,PTHLH
BRD2,PYCARD
BRD2,PYCR1
BRD2,RAB34
BRD2,RBFOX3
BRD2,RGL2
BRD2,RHOC
BRD2,ROBO1
BRD2,ROBO3
BRD2,RUNX3
BRD2,S100A2
BRD2,SDC1
BRD2,SEC61G
BRD2,SERP2
BRD2,SERTAD1
BRD2,SERTAD3
BRD2,SH3GLB2
BRD2,SHF
BRD2,SIGMAR1
BRD2,SIRT3
BRD2,SKIDA1
BRD2,SLC10A3
BRD2,SLC12A7
BRD2,SLC16A14
BRD2,SLC1A5
BRD2,SLC22A11
BRD2,SLC25A6
BRD2,SLC26A6
BRD2,SLC38A10
BRD2,SLC39A1
BRD2,SLC39A4
BRD2,SLC7A5
BRD2,SOX17
BRD2,SPATA41
BRD2,SRI
BRD2,SRSF2
BRD2,STARD5
BRD2,STAU2-AS1
BRD2,STK25
BRD2,SYVN1
BRD2,TAC4
BRD2,TBX6
BRD2,TERC
BRD2,TGFB3
BRD2,THBD
BRD2,TIMM13
BRD2,TIMP2
BRD2,TINF2
BRD2,TLCD1
BRD2,TMEM185B
BRD2,TMEM200B
BRD2,TNFRSF1A
BRD2,TNK2
BRD2,TNKS1BP1
BRD2,TOMM20L
BRD2,TP53I3
BRD2,TPM2
BRD2,TPRA1
BRD2,TRAM1L1
BRD2,TRIM47
BRD2,TSR3
BRD2,TST
BRD2,TUBA1B
BRD2,U2AF1L4
BRD2,UBC
BRD2,UBXN11
BRD2,USF1
BRD2,VPS28
BRD2,VSIG10L
BRD2,ZMAT1
BRD2,ZNF219
BRD2,ZNF552
BRD2,ZNF768
BRD2,ZWINT
BRD2,ZXDA
BRD4,ACOT6
BRD4,ACTB
BRD4,ACTG1
BRD4,AGA
BRD4,AGR2
BRD4,AHCY
BRD4,AHNAK
BRD4,AJUBA
BRD4,AKR1B1
BRD4,AKT1S1
BRD4,ALDH3A1
BRD4,AMBP
BRD4,ANAPC13
BRD4,AP1G2
BRD4,AP4B1
BRD4,APBB3
BRD4,ARFIP2
BRD4,ARHGAP31-AS1
BRD4,ARHGAP4
BRD4,ARHGDIA
BRD4,ARX
BRD4,ASB6
BRD4,AURKAIP1
BRD4,B4GALNT1
BRD4,B9D2
BRD4,BAAT
BRD4,BMS1P1
BRD4,BRAT1
BRD4,BRMS1
BRD4,C1QBP
BRD4,C1R
BRD4,C1orf74
BRD4,C3
BRD4,C7orf25
BRD4,CA12
BRD4,CCDC102A
BRD4,CCNO
BRD4,CCT3
BRD4,CDH16
BRD4,CDK20
BRD4,CDK2AP1
BRD4,CFL1
BRD4,CHCHD2
BRD4,CIB1
BRD4,CIB2
BRD4,CITED2
BRD4,CLDN7
BRD4,CLPTM1L
BRD4,CLU
BRD4,CLUH
BRD4,COL1A1
BRD4,COL7A1
BRD4,COLCA1
BRD4,COX7A2
BRD4,CPS1
BRD4,CRH
BRD4,CSRNP1
BRD4,CSRP1
BRD4,CST3
BRD4,CTRL
BRD4,CTSB
BRD4,CTSD
BRD4,CYBA
BRD4,CYP24A1
BRD4,DAD1
BRD4,DAW1
BRD4,DBP
BRD4,DCTPP1
BRD4,DGAT1
BRD4,DHCR24
BRD4,DHRS1
BRD4,DHRS13
BRD4,DLGAP1-AS4
BRD4,DNAJB1
BRD4,DNAJC19
BRD4,DNLZ
BRD4,DOCK4
BRD4,DPAGT1
BRD4,DPP7
BRD4,DUS1L
BRD4,DYRK1B
BRD4,EEF2
BRD4,EGFR-AS1
BRD4,EIF6
BRD4,ELP6
BRD4,EMP2
BRD4,ENO1
BRD4,ENTPD2
BRD4,EOMES
BRD4,EPB41L4A
BRD4,ERH
BRD4,EXTL3-AS1
BRD4,EZR
BRD4,F12
BRD4,FAM218A
BRD4,FAM86B2
BRD4,FASN
BRD4,FASTK
BRD4,FBXL6
BRD4,FCGBP
BRD4,FDXACB1
BRD4,FGFR1
BRD4,FIZ1
BRD4,FKBP5
BRD4,FLNA
BRD4,FN1
BRD4,FOXN3-AS1
BRD4,FRMD3
