Gene1,Gene2
FOXM1,ACP5
SREBF1,DGKQ
EZH2,CHD4
NKX2-1,HMGA2
RELA,MED1
SREBF2,HMGCS1
HEY2,MYL2
YY1,UBC
NPAS2,NPAS2
AR,IGFBP3
TP63,PRODH
VSX1,MCL1
E2F6,SMC1A
EZH2,SMC1A
CEBPB,PTGES
EPAS1,PTK6
HIF1A,PTK6
HMGA2,LOX
NKX3-1,WIF1
IRF1,TRIM21
SP1,APLN
TP53,NKX2-1
JUN,GNRH1
TP53,SALL2
SALL2,TP53
WT1,SALL2
NR5A2,TFF1
ZNF296,LEFTY1
CTCF,SMC3
TP53,BCL3
KLF9,CEBPB
TP63,IL7
ATOH8,HAMP
RELA,HSD11B1
MYC,SMARCA4
CEBPB,MCAT
SOX17,FN1
GATA2,AR
CEBPB,CHKA
MYC,RUNX3
RUNX3,MYC
AR,RELA
RELA,AR
NFE2L2,HIF1A
HIF1A,NFE2L2
TP53,EHMT2
WT1,CTCF
CTCF,WT1
ARNT,SDC4
HIF1A,SDC4
JUN,MAPK12
CREB1,DYRK1B
GATA2,AQP2
NFE2L2,ACHE
GABPA,AR
GATA3,FOXA1
ZBTB16,SP1
ZBTB16,TP53
MYT1,KDM1A
AR,GNRH1
ARNT,GNRH1
EZH2,NFE2L2
NFE2L2,FGFR1
JUN,CDX2
ZBTB33,MUC1
HEY1,CDKN1C
ZBTB17,ZBTB17
JUN,JUND
HOXA7,ACTB
MYC,FGFR1
HR,ACHE
MYC,IL7
SP1,ACTB
RARB,CRABP2
FOSL1,NPPA
SP1,NEFL
MAX,SIN3A
MYC,LTA
USF1,MYL2
JUN,MCAT
TP53,CKB
IRF1,JUN
WT1,JUN
JUN,CRH
RARB,ACHE
TAF1,RARB
HMGA2,JUN
JUN,PTHLH
AR,PTHLH
SP1,CCK
USF1,CCK
JUNB,NPPA
SP1,ADRA2A
TP53,KRT8
TP53,NPPA
MZF1,MZF1
WT1,SDC1
ZIK1,ZIK1
FOSL1,NQO1
JUN,NELFE
TCF12,VGF
TP63,ACTB
TP53,ZNHIT2
USF1,PSAP
JUNB,VGF
YY1,APBB1
NR3C1,PTHLH
ELF1,MYC
NKX2-1,PSAP
HR,FN1
JUN,LTA
NCOR2,ACHE
RELA,WT1
SP1,LCAT
CEBPB,SLC35A2
TP63,IL13
ZBTB16,MAX
ZBTB16,GSR
FOXM1,AMBP
SP1,PSAP
YY1,CTCF
FOXM1,CPS1
ETS1,ANPEP
TP53,HLA-B
MYC,HLA-B
ETS1,FOXD1
USF1,MYC
NKX6-1,E2F1
E2F1,NKX6-1
E2F6,DDX11
E2F6,TFF1
EZH2,HOXA7
FOSL2,CLU
GATA2,MYC
GATA2,WT1
GATA3,CLIC3
JUND,CLU
MYC,ACP5
MYC,ACTG1
MYC,ATP6V1G2
MYC,BCL3
MYC,CASP9
MYC,DDX11
MYC,ELK1
MYC,FASN
MYC,IL13
MYC,LAIR1
MYC,LAMB2
MYC,LTB
MYC,MUC1
MYC,POLD2
MYC,PSAP
MYC,RARB
MYC,RPL22
MYC,RPS16
MYC,SLA
MYC,SLC19A1
MYC,TCF12
MYC,TGFB3
MYC,TPM2
